"filename", "language", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-31-57\details.md", "Markdown", 118, 0, 0, 6, 124
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-31-57\diff-details.md", "Markdown", 26, 0, 0, 6, 32
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-31-57\diff.md", "Markdown", 31, 0, 0, 7, 38
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-31-57\results.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-31-57\results.md", "Markdown", 57, 0, 0, 7, 64
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-32-41\details.md", "Markdown", 118, 0, 0, 6, 124
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-32-41\diff-details.md", "Markdown", 26, 0, 0, 6, 32
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-32-41\diff.md", "Markdown", 31, 0, 0, 7, 38
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-32-41\results.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-32-41\results.md", "Markdown", 57, 0, 0, 7, 64
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-33-10\details.md", "Markdown", 118, 0, 0, 6, 124
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-33-10\diff-details.md", "Markdown", 26, 0, 0, 6, 32
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-33-10\diff.md", "Markdown", 31, 0, 0, 7, 38
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-33-10\results.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\Alfredo\Downloads\NomiWise\.VSCodeCounter\2024-10-14_20-33-10\results.md", "Markdown", 57, 0, 0, 7, 64
"Total", "-", 696, 3, 0, 78, 777
